file,province,main_sector,subsector,hazard,n_variables,n_with_legacy_weight,n_new_variables,n_rows,panel_overrides
generated/North_Central/POTABLE_WATER_DROUGHT_NCE_V1_upload_template.xlsx,North Central,Water Sector,Potable Water,Drought,12,9,3,29,"0 add, 0 retire"
generated/North_Central/POTABLE_WATER_FLOOD_NCE_V1_upload_template.xlsx,North Central,Water Sector,Potable Water,Flood,11,7,4,29,"0 add, 0 retire"
generated/North_Central/POULTRY_DROUGHT_NCE_V1_upload_template.xlsx,North Central,Livestock Sector,Poultry Farming,Drought,24,5,19,29,"0 add, 0 retire"
generated/North_Central/POULTRY_FLOOD_NCE_V1_upload_template.xlsx,North Central,Livestock Sector,Poultry Farming,Flood,25,5,20,29,"0 add, 0 retire"
generated/North_Central/TOURISM_DROUGHT_NCE_V1_upload_template.xlsx,North Central,Tourism Sector,,Drought,11,6,5,29,"0 add, 0 retire"
generated/North_Central/TOURISM_FLOOD_NCE_V1_upload_template.xlsx,North Central,Tourism Sector,,Flood,12,6,6,29,"0 add, 0 retire"
generated/North_Central/TRANSPORTATION_FLOOD_NCE_V1_upload_template.xlsx,North Central,Transportation Sector,,Flood,14,5,9,29,"0 add, 0 retire"
generated/Northern/BUFFALO_DROUGHT_NOR_V1_upload_template.xlsx,Northern,Livestock Sector,Buffalo Farming,Drought,18,5,13,34,"0 add, 0 retire"
generated/Northern/BUFFALO_FLOOD_NOR_V1_upload_template.xlsx,Northern,Livestock Sector,Buffalo Farming,Flood,19,5,14,34,"0 add, 0 retire"
generated/Northern/CATTLE_DROUGHT_NOR_V1_upload_template.xlsx,Northern,Livestock Sector,Cattle Farming,Drought,18,5,13,34,"0 add, 0 retire"
generated/Northern/CATTLE_FLOOD_NOR_V1_upload_template.xlsx,Northern,Livestock Sector,Cattle Farming,Flood,19,5,14,34,"0 add, 0 retire"
generated/Northern/COCONUT_DROUGHT_NOR_V1_upload_template.xlsx,Northern,Agriculture Sector,Coconut,Drought,10,4,6,34,"0 add, 0 retire"
generated/Northern/GOAT_DROUGHT_NOR_V1_upload_template.xlsx,Northern,Livestock Sector,Goat Farming,Drought,18,3,15,34,"0 add, 0 retire"
generated/Northern/GOAT_FLOOD_NOR_V1_upload_template.xlsx,Northern,Livestock Sector,Goat Farming,Flood,19,3,16,34,"0 add, 0 retire"
generated/Northern/HUMAN_SETTLEMENTS_DROUGHT_NOR_V1_upload_template.xlsx,Northern,Human Settlements Sector,,Drought,16,13,3,34,"0 add, 0 retire"
generated/Northern/HUMAN_SETTLEMENTS_FLOOD_NOR_V1_upload_template.xlsx,Northern,Human Settlements Sector,,Flood,17,8,9,34,"0 add, 0 retire"
generated/Northern/INDUSTRY_DROUGHT_NOR_V1_upload_template.xlsx,Northern,Industry Sector,,Drought,14,11,3,34,"0 add, 0 retire"
generated/Northern/INDUSTRY_FLOOD_NOR_V1_upload_template.xlsx,Northern,Industry Sector,,Flood,15,10,5,34,"0 add, 0 retire"
generated/Northern/IRRIGATION_WATER_DROUGHT_NOR_V1_upload_template.xlsx,Northern,Water Sector,Irrigation Water,Drought,9,4,5,34,"0 add, 0 retire"
generated/Northern/IRRIGATION_WATER_FLOOD_NOR_V1_upload_template.xlsx,Northern,Water Sector,Irrigation Water,Flood,10,4,6,34,"0 add, 0 retire"
generated/Northern/PADDY_DROUGHT_NOR_V1_upload_template.xlsx,Northern,Agriculture Sector,Paddy,Drought,12,7,5,34,"0 add, 0 retire"
generated/Northern/PADDY_FLOOD_NOR_V1_upload_template.xlsx,Northern,Agriculture Sector,Paddy,Flood,15,8,7,34,"0 add, 0 retire"
generated/Northern/POTABLE_WATER_DROUGHT_NOR_V1_upload_template.xlsx,Northern,Water Sector,Potable Water,Drought,12,9,3,34,"0 add, 0 retire"
generated/Northern/POTABLE_WATER_FLOOD_NOR_V1_upload_template.xlsx,Northern,Water Sector,Potable Water,Flood,11,7,4,34,"0 add, 0 retire"
generated/Northern/POULTRY_DROUGHT_NOR_V1_upload_template.xlsx,Northern,Livestock Sector,Poultry Farming,Drought,24,5,19,34,"0 add, 0 retire"
generated/Northern/POULTRY_FLOOD_NOR_V1_upload_template.xlsx,Northern,Livestock Sector,Poultry Farming,Flood,25,5,20,34,"0 add, 0 retire"
generated/Northern/TOURISM_DROUGHT_NOR_V1_upload_template.xlsx,Northern,Tourism Sector,,Drought,11,6,5,34,"0 add, 0 retire"
generated/Northern/TOURISM_FLOOD_NOR_V1_upload_template.xlsx,Northern,Tourism Sector,,Flood,12,6,6,34,"0 add, 0 retire"
generated/Northern/TRANSPORTATION_FLOOD_NOR_V1_upload_template.xlsx,Northern,Transportation Sector,,Flood,14,5,9,34,"0 add, 0 retire"
generated/Northwestern/BUFFALO_DROUGHT_NWE_V1_upload_template.xlsx,Northwestern,Livestock Sector,Buffalo Farming,Drought,18,9,9,46,"0 add, 0 retire"
generated/Northwestern/BUFFALO_FLOOD_NWE_V1_upload_template.xlsx,Northwestern,Livestock Sector,Buffalo Farming,Flood,19,9,10,46,"0 add, 0 retire"
generated/Northwestern/CATTLE_DROUGHT_NWE_V1_upload_template.xlsx,Northwestern,Livestock Sector,Cattle Farming,Drought,18,9,9,46,"0 add, 0 retire"
generated/Northwestern/CATTLE_FLOOD_NWE_V1_upload_template.xlsx,Northwestern,Livestock Sector,Cattle Farming,Flood,19,9,10,46,"0 add, 0 retire"
generated/Northwestern/COCONUT_DROUGHT_NWE_V1_upload_template.xlsx,Northwestern,Agriculture Sector,Coconut,Drought,10,5,5,46,"0 add, 0 retire"
generated/Northwestern/GOAT_DROUGHT_NWE_V1_upload_template.xlsx,Northwestern,Livestock Sector,Goat Farming,Drought,18,6,12,46,"0 add, 0 retire"
generated/Northwestern/GOAT_FLOOD_NWE_V1_upload_template.xlsx,Northwestern,Livestock Sector,Goat Farming,Flood,19,6,13,46,"0 add, 0 retire"
generated/Northwestern/HUMAN_SETTLEMENTS_DROUGHT_NWE_V1_upload_template.xlsx,Northwestern,Human Settlements Sector,,Drought,16,13,3,46,"0 add, 0 retire"
generated/Northwestern/HUMAN_SETTLEMENTS_FLOOD_NWE_V1_upload_template.xlsx,Northwestern,Human Settlements Sector,,Flood,17,13,4,46,"0 add, 0 retire"
