proposed_code,canonical_name,raw_description_normalized
SCHOOLS_LANDSLIDE_PRONE_AREA_HIGH,Schools  in landslide prone area (high and moderate),schools in landslide prone area high and moderate
BUILDINGS_LANDSLIDE_AFFECTED_AREA,Total buildings in landslide affected area,total buildings in landslide affected area
LANDSLIDE_AFFECTED_AREA,Total landslide affected area,total landslide affected area
LANDSLIDE_AFFECTED_AREA_HIGH_MODERATE,Total of  Landslide  affected area (High and Moderate),total landslide affected area high and moderate
LANDSLIDE_AFFECTED_AREA_HIGH_MODERATE,Total of  Landslide  affected area (High and Moderate),total of landslide affected area high and moderate
DROUGHT_INDEX,Drought Index,drought index
LANDSLIDE_AFFECTED_RAILWAY_LENGTH,Landslide affected railway length,landslide affected railway length
MAIN_ROAD_LENGTH,Total main road length,total main road length
SECONDARY_ROAD_LENGTH,Total Secondary road length,total secondary road length
TOTALTRACK_LENGTH,TotalTrack length,totaltrack length
PCT_BUFFALO_FARMERS_LIVESTOCK_FARMERS,%_ Buffalo Farmers from total livestock farmers,% buffalo farmers from total livestock farmers
PCT_CATTLE_FARMERS_LIVESTOCK_FARMERS,%_Cattle Farmers from total livestock farmers,% cattle farmers from total livestock farmers
PCT_EXTENSIVE,% Extensive,% extensive
PCT_EXTENT_MAJOR_FLOODS_AFFECTED,%  Extent of Major floods affected area,% extent of major floods affected area
PCT_EXTENT_MAJOR_FLOODS_AFFECTED,%  Extent of Major floods affected area,% of extent of major floods affected area
PCT_GOAT_FARMERS_LIVESTOCK_FARMERS,% Goat Farmers from total livestock farmers,% goat farmers from total livestock farmers
PCT_INTENSIVE,% Intensive,% intensive
PCT_HH_HAVING_PIPE_BORN,% of HH having Pipe born water,% of hh having pipe born water
PCT_PIG_FARMERS_LIVESTOCK_FARMERS,% of pig Farmers from Livestock Farmers,% of pig farmers from livestock farmers
PCT_PIG_FARMERS_LIVESTOCK_FARMERS,% of pig Farmers from Livestock Farmers,% pig farmers from total livestock farmers
PCT_SEMI_INTENSIVE,% Semi Intensive,% semi intensive
ANNUAL_MITCH_BUFFALO_MILK_PRODUCTION,Annual Mitch Buffalo Milk Production (l),annual mitch buffalo milk production l
ANNUAL_PORK_PRODUCTION_KG,Annual Pork Production (Kg),annual pork production kg
EGG_PRODUCTION_ANNUAL,Egg Production (Annual),egg production annual
FLOOD_AFFECTED_HUMAN_SETTLEMENT_AREA,Flood affected human settlement area,flood affected human settlement area
FLOOD_AFFECTED_MAIN_ROAD_LENGTH,Flood affected main road length,flood affected main road length
FLOOD_AFFECTED_SECONDARY_ROAD_LENGTH,Flood affected Secondary road length,flood affected secondary road length
FLOOD_AFFECTED_TRACK_LENGTH,Flood affected Track length,flood affected track length
FLOOD_INDEX,Flood Index,flood index
MAX_DROUGHT_AFFECTED_PEOPLE_DURING_3,Max # of drought affected People during 2005 to 2022,max of drought affected people during 2005 to 2022
MITCH_COWS_MONTHLY_MILK_PRODUCTION,Mitch Cows' Monthly Milk Production (l),mitch cows monthly milk production l
MONTHLY_EGG_PRODUCTION,Monthly Egg Production,monthly egg production
MONTHLY_MUTTON_PRODUCTION_KG,Monthly Mutton Production (Kg),monthly mutton production kg
CATTLES,No. of Cattles,no of cattle
CATTLES,No. of Cattles,no of cattles
CATTLES,No. of Cattles,of cattle
FLOOD_AFFECTED_SCHOOLS,No. of Flood affected schools,no of flood affected schools
PIGS,# of Pigs,of pigs
PIGS,# of Pigs,total pigs
BUILDINGS_FLOOD_AFFECTED_AREA,Total buildings in flood affected area,total buildings in flood affected area
CUTTING_FAILURES_EARTH_SLIPS_2000,Cutting failures &  Earth slips (2000 - 2023),cutting failures earth slips 2000 2023
PCT_CROSS_LW_LR_D,% Cross (LW/Lr/D)_BREEDS,% cross lw lr d breeds
PCT_GOAT_FARMERS_LIVESTOCK_OPERATORS,% Goat farmers from total Livestock Operators,% goat farmers from total livestock operators
