province,district,ds_code,ds_division,ds_division_si,ds_code_official_num,ds_code_legacy,split_from,lon,lat,level,source
Eastern,Trincomalee,TR5,Morawewa,මොරවැව,314,EAS-038,,81.013999,8.638586,DS_DIVISION,"DS_Boundary.shp (2025-10-09), EPSG:5234 reprojected to 4326"
Eastern,Trincomalee,TR6,Muthur,මුත්තූර්,315,EAS-039,,81.292095,8.430083,DS_DIVISION,"DS_Boundary.shp (2025-10-09), EPSG:5234 reprojected to 4326"
Eastern,Trincomalee,TR7,Padavi Sri Pura,පදවි ශ්‍රී පුර,316,EAS-040,,80.864081,8.907215,DS_DIVISION,"DS_Boundary.shp (2025-10-09), EPSG:5234 reprojected to 4326"
Eastern,Trincomalee,TR8,Seruvila,සේරුවිල,317,EAS-041,,81.245903,8.280181,DS_DIVISION,"DS_Boundary.shp (2025-10-09), EPSG:5234 reprojected to 4326"
Eastern,Trincomalee,TR9,Thambalagamuwa,තඹලගමුව,318,EAS-042,,81.035543,8.50956,DS_DIVISION,"DS_Boundary.shp (2025-10-09), EPSG:5234 reprojected to 4326"
Eastern,Trincomalee,TR10,Town & Gravets,ත්‍රිකුණාමල,319,EAS-043,,81.172085,8.584109,DS_DIVISION,"DS_Boundary.shp (2025-10-09), EPSG:5234 reprojected to 4326"
Eastern,Trincomalee,TR11,Verugal,වෙරුගල්,309,EAS-044,,81.36875,8.331852,DS_DIVISION,"DS_Boundary.shp (2025-10-09), EPSG:5234 reprojected to 4326"
North Central,Anuradhapura,AN1,Galenbidunuwewa,ගලෙන්බිදුනුවැව,20,NCE-001,,80.71404,8.258783,DS_DIVISION,"DS_Boundary.shp (2025-10-09), EPSG:5234 reprojected to 4326"
North Central,Anuradhapura,AN2,Galnewa,ගල්නෑව,21,NCE-002,,80.465914,8.017574,DS_DIVISION,"DS_Boundary.shp (2025-10-09), EPSG:5234 reprojected to 4326"
North Central,Anuradhapura,AN3,Horowpathana,හොරොව්පොතාන,22,NCE-003,,80.831599,8.519996,DS_DIVISION,"DS_Boundary.shp (2025-10-09), EPSG:5234 reprojected to 4326"
North Central,Anuradhapura,AN4,Ipalogama,ඉපලෝගම,23,NCE-004,,80.522006,8.0721,DS_DIVISION,"DS_Boundary.shp (2025-10-09), EPSG:5234 reprojected to 4326"
North Central,Anuradhapura,AN5,Kahatagasdigiliya,කහටගස්දිගිලිය,24,NCE-005,,80.708452,8.449249,DS_DIVISION,"DS_Boundary.shp (2025-10-09), EPSG:5234 reprojected to 4326"
North Central,Anuradhapura,AN6,Kebithigollewa,කැඹිතිගොල්ලෑව,25,NCE-006,,80.687055,8.710958,DS_DIVISION,"DS_Boundary.shp (2025-10-09), EPSG:5234 reprojected to 4326"
North Central,Anuradhapura,AN7,Kekirawa,කැකිරාව,26,NCE-007,,80.596942,8.05598,DS_DIVISION,"DS_Boundary.shp (2025-10-09), EPSG:5234 reprojected to 4326"
North Central,Anuradhapura,AN8,Mahawilachchiya,මහාවිලච්චිය,27,NCE-008,,80.168677,8.53175,DS_DIVISION,"DS_Boundary.shp (2025-10-09), EPSG:5234 reprojected to 4326"
North Central,Anuradhapura,AN9,Medawachchiya,මැදවච්චිය,28,NCE-009,,80.501991,8.595501,DS_DIVISION,"DS_Boundary.shp (2025-10-09), EPSG:5234 reprojected to 4326"
North Central,Anuradhapura,AN10,Mihinthale,මිහින්තලේ,29,NCE-010,,80.529902,8.351668,DS_DIVISION,"DS_Boundary.shp (2025-10-09), EPSG:5234 reprojected to 4326"
North Central,Anuradhapura,AN11,Nachchaduwa,නච්චදූව,30,NCE-011,,80.438771,8.242628,DS_DIVISION,"DS_Boundary.shp (2025-10-09), EPSG:5234 reprojected to 4326"
North Central,Anuradhapura,AN12,Nochchiyagama,නොච්චියාගම,31,NCE-012,,80.118248,8.35149,DS_DIVISION,"DS_Boundary.shp (2025-10-09), EPSG:5234 reprojected to 4326"
North Central,Anuradhapura,AN13,Nuwaragam Palatha Central,නුවරගම් පළාත මධ්‍ය,32,NCE-013,,80.371005,8.418507,DS_DIVISION,"DS_Boundary.shp (2025-10-09), EPSG:5234 reprojected to 4326"
North Central,Anuradhapura,AN14,Nuwaragam Palatha East,නුවරගම් පළාත නැගෙන,33,NCE-014,,80.447501,8.309282,DS_DIVISION,"DS_Boundary.shp (2025-10-09), EPSG:5234 reprojected to 4326"
North Central,Anuradhapura,AN15,Padaviya,පදවිය,34,NCE-015,,80.798606,8.838763,DS_DIVISION,"DS_Boundary.shp (2025-10-09), EPSG:5234 reprojected to 4326"
North Central,Anuradhapura,AN16,Palagala,පළාගල,35,NCE-016,,80.546296,7.911342,DS_DIVISION,"DS_Boundary.shp (2025-10-09), EPSG:5234 reprojected to 4326"
North Central,Anuradhapura,AN17,Palugaswewa,පලුගස්වැව,36,NCE-017,,80.71546,8.093111,DS_DIVISION,"DS_Boundary.shp (2025-10-09), EPSG:5234 reprojected to 4326"
North Central,Anuradhapura,AN18,Rajanganaya,රාජාංගනය,37,NCE-018,,80.171657,8.182009,DS_DIVISION,"DS_Boundary.shp (2025-10-09), EPSG:5234 reprojected to 4326"
North Central,Anuradhapura,AN19,Rambewa,රඹෑව,38,NCE-019,,80.604498,8.491037,DS_DIVISION,"DS_Boundary.shp (2025-10-09), EPSG:5234 reprojected to 4326"
North Central,Anuradhapura,AN20,Thalawa,තලාව,39,NCE-020,,80.380926,8.18944,DS_DIVISION,"DS_Boundary.shp (2025-10-09), EPSG:5234 reprojected to 4326"
North Central,Anuradhapura,AN21,Thambuththegama,තඹුත්තේගම,40,NCE-021,,80.307217,8.14723,DS_DIVISION,"DS_Boundary.shp (2025-10-09), EPSG:5234 reprojected to 4326"
North Central,Anuradhapura,AN22,Thirappane,තිරප්පනේ,41,NCE-022,,80.545477,8.208995,DS_DIVISION,"DS_Boundary.shp (2025-10-09), EPSG:5234 reprojected to 4326"
North Central,Polonnaruwa,PO1,Dimbulagala,දිඹුලාගල,269,NCE-023,,81.104502,7.809938,DS_DIVISION,"DS_Boundary.shp (2025-10-09), EPSG:5234 reprojected to 4326"
North Central,Polonnaruwa,PO2,Elahera,ඇලහැර,270,NCE-024,,80.854499,7.82855,DS_DIVISION,"DS_Boundary.shp (2025-10-09), EPSG:5234 reprojected to 4326"
